date,open,high,low,close,Adj Close,Volume,,
2020-01-02 00:00:00-5:00,7196.346191,7208.283203,6923.563965,6963.68457,6963.68457,46760.01172,,
2020-01-03 00:00:00-5:00,6963.407227,7407.114258,6870.724121,7345.355957,7345.355957,92083.875,,
2020-01-06 00:00:00-5:00,7357.753418,7795.995117,7347.415039,7759.080566,7759.080566,77368.57813,,
2020-01-07 00:00:00-5:00,7760.004395,8209.37793,7725.59668,8149.535156,8149.535156,127114.8359,,
2020-01-08 00:00:00-5:00,8149.269043,8456.438477,7866.503418,8053.348145,8053.348145,151801.9531,,
2020-01-09 00:00:00-5:00,8050.631836,8053.260742,7749.697754,7817.221191,7817.221191,80039.89844,,
2020-01-10 00:00:00-5:00,7817.118652,8198.910156,7670.935547,8195.807617,8195.807617,105215.9766,,
2020-01-13 00:00:00-5:00,8183.606934,8196.130859,8053.240234,8108.363281,8108.363281,41122.37109,,
2020-01-14 00:00:00-5:00,8108.060547,8877.19043,8104.527344,8807.333984,8807.333984,166534.7969,,
2020-01-15 00:00:00-5:00,8810.916016,8910.663086,8561.620117,8818.487305,8818.487305,110281.9844,,
2020-01-16 00:00:00-5:00,8817.349609,8856.964844,8584.486328,8719.262695,8719.262695,68198.11719,,
2020-01-17 00:00:00-5:00,8722.077148,9029.555664,8675.158203,8907.719727,8907.719727,102075.9141,,
2020-01-21 00:00:00-5:00,8639.583008,8786.036133,8484.901367,8733.24707,8733.24707,48445.19922,,
2020-01-22 00:00:00-5:00,8733.510742,8812.601563,8585.327148,8677.805664,8677.805664,37825.44141,,
2020-01-23 00:00:00-5:00,8676.641602,8684.648438,8298.717773,8400.574219,8400.574219,67435.48438,,
2020-01-24 00:00:00-5:00,8401.111328,8525.115234,8235.111328,8437.272461,8437.272461,54435.30469,,
2020-01-27 00:00:00-5:00,8610.025391,8998.854492,8552.526367,8906.441406,8906.441406,96289.40625,,
2020-01-28 00:00:00-5:00,8906.09668,9401.244141,8878.458984,9380.020508,9380.020508,132793.5781,,
2020-01-29 00:00:00-5:00,9381.666992,9445.297852,9223.739258,9298.868164,9298.868164,86323.28125,,
2020-01-30 00:00:00-5:00,9299.535156,9574.499023,9186.660156,9511.378906,9511.378906,83958.8125,,
2020-01-31 00:00:00-5:00,9510.007813,9527.871094,9207.400391,9350.833008,9350.833008,61530.94141,,
2020-02-03 00:00:00-5:00,9332.316406,9619.860352,9232.576172,9291.65332,9291.65332,70751.5625,,
2020-02-04 00:00:00-5:00,9290.838867,9350.53125,9091.326172,9192.426758,9192.426758,66452.35938,,
2020-02-05 00:00:00-5:00,9191.731445,9746.755859,9173.121094,9612.319336,9612.319336,90342.71875,,
2020-02-06 00:00:00-5:00,9612.328125,9863.085938,9527.598633,9767.805664,9767.805664,87349.32031,,
2020-02-07 00:00:00-5:00,9768.708008,9883.293945,9724.424805,9812.291992,9812.291992,56821.70313,,
2020-02-10 00:00:00-5:00,10154.72559,10189.82617,9746.591797,9851.719727,9851.719727,82830.94531,,
2020-02-11 00:00:00-5:00,9851.716797,10338.7334,9702.676758,10234.71094,10234.71094,87254.09375,,
2020-02-12 00:00:00-5:00,10233.80664,10458.31934,10228.48047,10332.01172,10332.01172,84703.40625,,
2020-02-13 00:00:00-5:00,10330.89453,10503.17773,10076.65527,10228.99414,10228.99414,106710.6563,,
2020-02-14 00:00:00-5:00,10228.65039,10383.00488,10109.3457,10347.63379,10347.63379,60130.22656,,
2020-02-18 00:00:00-5:00,9707.226563,10261.06836,9586.716797,10170.9668,10170.9668,99977.85938,,
2020-02-19 00:00:00-5:00,10172.83691,10268.02539,9372.891602,9625.825195,9625.825195,85252.98438,,
2020-02-20 00:00:00-5:00,9608.0625,9694.254883,9420.404297,9604.269531,9604.269531,114332.4063,,
2020-02-21 00:00:00-5:00,9601.555664,9758.836914,9557.378906,9682.75,9682.75,66061.64844,,
2020-02-24 00:00:00-5:00,9947.210938,10001.53223,9471.464844,9657.386719,9657.386719,80729.72656,,
2020-02-25 00:00:00-5:00,9658.811523,9678.21875,9245.90918,9314.854492,9314.854492,79655.84375,,
2020-02-26 00:00:00-5:00,9315.269531,9377.576172,8632.298828,8786.826172,8786.826172,135331.4531,,
2020-02-27 00:00:00-5:00,8786.145508,8967.357422,8529.334961,8823.003906,8823.003906,102178.7813,,
2020-02-28 00:00:00-5:00,8822.014648,8900.995117,8440.701172,8698.141602,8698.141602,93945.14844,,
2020-03-02 00:00:00-5:00,8530.921875,8968.514648,8498.249023,8916.810547,8916.810547,77107.29688,,
2020-03-03 00:00:00-5:00,8914.384766,8922.260742,8651.583008,8762.069336,8762.069336,70596.10156,,
2020-03-04 00:00:00-5:00,8750.407227,8825.422852,8665.763672,8753.461914,8753.461914,63702.17969,,
2020-03-05 00:00:00-5:00,8753.185547,9158.68457,8751.430664,9059.825195,9059.825195,150751.8281,,
2020-03-06 00:00:00-5:00,9056.324219,9168.411133,8988.404297,9134.974609,9134.974609,101686.0781,,
2020-03-09 00:00:00-5:00,8047.745605,8184.458984,7643.033691,7921.208984,7921.208984,184770.0156,,
2020-03-10 00:00:00-5:00,7933.726074,8154.411133,7732.713867,7896.209961,7896.209961,115849.2734,,
2020-03-11 00:00:00-5:00,7896.976563,7986.699707,7593.69873,7938.601563,7938.601563,105846.9766,,
2020-03-12 00:00:00-5:00,7944.472656,7975.26416,4503.635254,4830.663086,4830.663086,485636.0313,,
2020-03-13 00:00:00-5:00,4827.505371,5975.01709,3836.906006,5603.936523,5603.936523,633959.9375,,
2020-03-16 00:00:00-5:00,5359.657227,5364.634277,4469.255859,5035.299316,5035.299316,299436.625,,
2020-03-17 00:00:00-5:00,5116.459961,5522.986328,4978.596191,5322.060059,5322.060059,343060.0938,,
2020-03-18 00:00:00-5:00,5318.29541,5439.752441,5010.422363,5391.838379,5391.838379,265146,,
2020-03-19 00:00:00-5:00,5400.520508,6410.740234,5256.058594,6169.000977,6169.000977,302414.4063,,
2020-03-20 00:00:00-5:00,6167.987793,6920.47998,5665.458984,6207.355469,6207.355469,323252.5625,,
2020-03-23 00:00:00-5:00,5816.297852,6615.895508,5685.447754,6474.849609,6474.849609,242422.7031,,
2020-03-24 00:00:00-5:00,6473.807617,6841.250977,6380.575195,6751.290039,6751.290039,221824.5938,,
2020-03-25 00:00:00-5:00,6750.354492,6963.755371,6450.703125,6680.988281,6680.988281,187084.8281,,
2020-03-26 00:00:00-5:00,6680.706543,6783.313477,6510.518555,6741.326172,6741.326172,113033.2344,,
2020-03-27 00:00:00-5:00,6742.874023,6851.30127,6259.010254,6362.55957,6362.55957,118561.125,,
2020-03-30 00:00:00-5:00,5881.20166,6607.241699,5858.834473,6397.365234,6397.365234,160362.4063,,
2020-03-31 00:00:00-5:00,6396.931641,6524.604492,6324.168457,6413.022461,6413.022461,92999.78906,,
2020-04-01 00:00:00-5:00,6415.347656,6693.446289,6153.473633,6649.137695,6649.137695,131824.0625,,
2020-04-02 00:00:00-5:00,6650.408203,7220.680664,6556.831055,6797.399902,6797.399902,205644.2813,,
2020-04-03 00:00:00-5:00,6796.489258,7048.110352,6604.293457,6735.378418,6735.378418,134505.5625,,
2020-04-06 00:00:00-5:00,6774.519043,7359.126465,6767.433105,7332.97998,7332.97998,165953.4531,,
2020-04-07 00:00:00-5:00,7332.808594,7460.693359,7077.226074,7198.306152,7198.306152,144723.2656,,
