date,open,high,low,close,Adj Close,Volume
2020-01-02 00:00:00-5:00,130.621185,130.671814,126.330116,127.158463,127.158463,333242.625
2020-01-03 00:00:00-5:00,127.15583,135.165726,125.867943,134.364471,134.364471,617355.3125
2020-01-06 00:00:00-5:00,135.371613,144.662796,134.875961,144.15773,144.15773,618058.25
2020-01-07 00:00:00-5:00,144.156448,145.283905,138.793839,142.877136,142.877136,618215.8125
2020-01-08 00:00:00-5:00,142.861221,147.829391,137.059998,140.734619,140.734619,762888.0625
2020-01-09 00:00:00-5:00,140.683289,141.462662,135.281067,137.739868,137.739868,478141.7813
2020-01-10 00:00:00-5:00,137.723663,145.298981,135.225723,144.835403,144.835403,601668.5625
2020-01-13 00:00:00-5:00,146.538834,147.045349,142.239685,143.561478,143.561478,285263.3125
2020-01-14 00:00:00-5:00,143.55629,171.323441,143.499207,165.578094,165.578094,1595009.25
2020-01-15 00:00:00-5:00,165.552963,171.860352,159.143692,166.337753,166.337753,1033294.063
2020-01-16 00:00:00-5:00,166.345825,167.347702,157.929489,164.141968,164.141968,636889.4375
2020-01-17 00:00:00-5:00,164.29718,174.58432,162.271255,169.797516,169.797516,1139964.875
2020-01-21 00:00:00-5:00,166.857208,170.255447,164.814636,169.429413,169.429413,752734.9375
2020-01-22 00:00:00-5:00,169.440887,171.435837,165.998688,168.026337,168.026337,580941.625
2020-01-23 00:00:00-5:00,168.017166,168.153687,159.133743,162.774307,162.774307,792246.9375
2020-01-24 00:00:00-5:00,162.809921,164.403,155.485001,162.586441,162.586441,962558.8125
2020-01-27 00:00:00-5:00,167.88913,172.165482,165.276276,170.079468,170.079468,1245926.375
2020-01-28 00:00:00-5:00,170.079956,176.268173,170.056274,175.734314,175.734314,1426967.875
2020-01-29 00:00:00-5:00,175.730179,178.451492,173.555115,174.337769,174.337769,1098313.5
2020-01-30 00:00:00-5:00,173.660858,186.933868,170.8508,184.662003,184.662003,1022594
2020-01-31 00:00:00-5:00,184.660309,185.748764,175.155548,179.926224,179.926224,788289.25
2020-02-03 00:00:00-5:00,188.4487,195.278473,186.589539,189.258865,189.258865,823608.75
2020-02-04 00:00:00-5:00,189.696136,191.559174,184.610825,188.776306,188.776306,498742.4688
